अँग	a mq g a
अस्पष्टता	a s a p a sx a tx a t a aa
अस्मिता	a s a m a i t a aa
अस्वस्थ	a s a w a s a th a
अस्वस्थता	a s a w a s a th a t a aa
अस्वाभाविक	a s a w a aa bh a aa w a i k a
अस्वीकृत	a s a w a ii k a rq t a
अस्वीकृति	a s a w a ii k a rq t a i
अस्सी	a s a s a ii
अहंकार	a h a q k a aa r a
अहम	a h a m a
अहमद	a h a m a d a
अहमदनगर	a h a m a d a n a g a r a
अहमियत	a h a m a i y a t a
अहसास	a h a s a aa s a
अहा	a h a aa
अहिंसक	a h a i q s a k a
अहिंसा	a h a i q s a aa
अहिल्या	a h a i l a y a aa
अहीर	a h a ii r a
आँकड़ा	aa mq k a dxq a aa
आँख	aa mq kh a
आँखे	aa mq kh a ee
आँखें	aa mq kh a ee q
आँखों	aa mq kh a o q
आँगन	aa mq g a n a
आँचल	aa mq c a l a
आँडाल	aa mq dx a aa l a
आँधी	aa mq dh a ii
आँवला	aa mq w a l a aa
आँवलों	aa mq w a l a o q
आँसू	aa mq s a uu
आंकड़ा	aa q k a dxq a aa
आंकड़े	aa q k a dxq a ee
आंकड़ों	aa q k a dxq a o q
आंकी	aa q k a ii
आंख	aa q kh a
आंखे	aa q kh a ee
आंखें	aa q kh a ee q
आंखों	aa q kh a o q
आंटी	aa q tx a ii
आंतरिक	aa q t a r a i k a
आंतो	aa q t a o
आंतों	aa q t a o q
आंदोलन	aa q d a o l a n a
आंदोलित	aa q d a o l a i t a
आंधी	aa q dh a ii
आंबेडकर	aa q b a ee dx a k a r a
आंशिक	aa q sh a i k a
आंसू	aa q s a uu
आइंस्टीन	aa i q s a tx a ii n a
आइए	aa i ee
आइन्स्टाइन	aa i n a s a tx a aa i n a
आइये	aa i y a ee
आइशा	aa i sh a aa
आइसक्रीम	aa i s a k a r a ii m a
आई	aa ii
आईं	aa ii q
आईआईएम	aa ii aa ii ee m a
आईआईएसईआर	aa ii aa ii ee s a ii aa r a
आईआईटी	aa ii aa ii tx a ii
आईएनएस	aa ii ee n a ee s a
आईएऩएस	aa ii ee ee s a
आईपीआऱ	aa ii p a ii aa
आईपीटीवी	aa ii p a ii tx a ii w a ii
आउट	aa u tx a
आउटफील्ड	aa u tx a ph a ii l a dx a
आउटफ्लो	aa u tx a ph a l a o
आउटसोर्स	aa u tx a s a o r a s a
आए	aa ee
आएँ	aa ee mq
आएँगे	aa ee mq g a ee
आएं	aa ee q
आएंगे	aa ee q g a ee
आएगा	aa ee g a aa
आएगी	aa ee g a ii
आओ	aa o
आक	aa k a
आकर	aa k a r a
आकरे	aa k a r a ee
आकर्षक	aa k a r a sx a k a
आकर्षण	aa k a r a sx a nx a
आकर्षित	aa k a r a sx a i t a
आकलन	aa k a l a n a
आकस्मिक	aa k a s a m a i k a
आकांक्षा	aa k a aa q k a sx a aa
आकार	aa k a aa r a
आकाश	aa k a aa sh a
आकृति	aa k a rq t a i
आकृतियां	aa k a rq t a i y a aa q
आक्रमण	aa k a r a m a nx a
आक्रामक	aa k a r a aa m a k a
आक्रोश	aa k a r a o sh a
आखरी	aa kh a r a ii
आख़िर	aa khq a i r a
आख़िरकार	aa khq a i r a k a aa r a
आख़िरी	aa khq a i r a ii
आखिर	aa kh a i r a
आखिरकार	aa kh a i r a k a aa r a
आखिरी	aa kh a i r a ii
आखिऱी	aa kh a i ii
आखें	aa kh a ee q
आख्यातत्त्व	aa kh a y a aa t a t a t a w a
आग	aa g a
आगन्तुक	aa g a n a t a u k a
आगम	aa g a m a
आगमन	aa g a m a n a
आगरकर	aa g a r a k a r a
आगरा	aa g a r a aa
आग़ा	aa gq a aa
आगे	aa g a ee
आगेआगे	aa g a ee aa g a ee
आगौनी	aa g a ou n a ii
आग्रह	aa g a r a h a
आग्रही	aa g a r a h a ii
आघात	aa gh a aa t a
आचरण	aa c a r a nx a
आचार	aa c a aa r a
आचार्य	aa c a aa r a y a
आचार्य्य	aa c a aa r a y a y a
आज	aa j a
आजकल	aa j a k a l a
आजमगढ़	aa j a m a g a dxhq a
आज़ादियों	aa z a aa d a i y a o q
आज़ादी	aa z a aa d a ii
आज़िया	aa z a i y a aa
आजाद	aa j a aa d a
आजादी	aa j a aa d a ii
आजीवन	aa j a ii w a n a
आज्ञा	aa j a nj a aa
आटा	aa tx a aa
आटो	aa tx a o
आट्टले	aa tx a tx a l a ee
आठ	aa txh a
आठआठ	aa txh a aa txh a
आठदस	aa txh a d a s a
आठवां	aa txh a w a aa q
आठवीं	aa txh a w a ii q
आठवें	aa txh a w a ee q
आडंबरों	aa dx a q b a r a o q
आडवाणी	aa dx a w a aa nx a ii
आड़े	aa dxq a ee
आडीटोरियम	aa dx a ii tx a o r a i y a m a
आतंक	aa t a q k a
आतंकवाद	aa t a q k a w a aa d a
आतंकवादियोँ	aa t a q k a w a aa d a i y a o mq
आतंकवादियों	aa t a q k a w a aa d a i y a o q
आतंकवादी	aa t a q k a w a aa d a ii
आतंकित	aa t a q k a i t a
आतंकी	aa t a q k a ii
आता	aa t a aa
आताजाता	aa t a aa j a aa t a aa
आती	aa t a ii
आतीं	aa t a ii q
आतुरताभरे	aa t a u r a t a aa bh a r a ee
आते	aa t a ee
आतेआते	aa t a ee aa t a ee
आत्म	aa t a m a
आत्मकथा	aa t a m a k a th a aa
आत्मघाती	aa t a m a gh a aa t a ii
आत्मज्ञान	aa t a m a j a nj a aa n a
आत्मनिर्भर	aa t a m a n a i r a bh a r a
आत्मलीन	aa t a m a l a ii n a
आत्मविश्वास	aa t a m a w a i sh a w a aa s a
आत्मसजग	aa t a m a s a j a g a
आत्मसम्मान	aa t a m a s a m a m a aa n a
आत्महत्या	aa t a m a h a t a y a aa
आत्मा	aa t a m a aa
आत्माओं	aa t a m a aa o q
आत्मानुशासन	aa t a m a aa n a u sh a aa s a n a
आत्मालाप	aa t a m a aa l a aa p a
आत्मीय	aa t a m a ii y a
आत्मीयता	aa t a m a ii y a t a aa
आदत	aa d a t a
आदतन	aa d a t a n a
आदमियों	aa d a m a i y a o q
आदमी	aa d a m a ii
आदर	aa d a r a
आदरसत्कार	aa d a r a s a t a k a aa r a
आदर्श	aa d a r a sh a
आदर्शों	aa d a r a sh a o q
आदाब	aa d a aa b a
आदि	aa d a i
आदिग्रन्थ	aa d a i g a r a n a th a
आदित्य	aa d a i t a y a
आदिम	aa d a i m a
आदिवासियों	aa d a i w a aa s a i y a o q
आदिहोता	aa d a i h a o t a aa
आदी	aa d a ii
आदीजैसे	aa d a ii j a ei s a ee
आदेश	aa d a ee sh a
आदेशानुसार	aa d a ee sh a aa n a u s a aa r a
आद्यतन	aa d a y a t a n a
आद्याशकित	aa d a y a aa sh a k a i t a
आद्योपान्त	aa d a y a o p a aa n a t a
आधा	aa dh a aa
आधार	aa dh a aa r a
आधारभूत	aa dh a aa r a bh a uu t a
आधारित	aa dh a aa r a i t a
आधिकारिक	aa dh a i k a aa r a i k a
आधिपत्य	aa dh a i p a t a y a
आधी	aa dh a ii
आधीरात	aa dh a ii r a aa t a
आधुनिक	aa dh a u n a i k a
आधुनिकता	aa dh a u n a i k a t a aa
आधुनिकतावाद	aa dh a u n a i k a t a aa w a aa d a
आधुनिकि	aa dh a u n a i k a i
आधुनिकीकरण	aa dh a u n a i k a ii k a r a nx a
आधे	aa dh a ee
आध्यात्मिक	aa dh a y a aa t a m a i k a
आध्यात्मिकता	aa dh a y a aa t a m a i k a t a aa
आन	aa n a
आनंद	aa n a q d a
आनंदित	aa n a q d a i t a
आनंदी	aa n a q d a ii
आनंदीलाल	aa n a q d a ii l a aa l a
आनन्द	aa n a n a d a
आनन्दलोक	aa n a n a d a l a o k a
आना	aa n a aa
आनाजाना	aa n a aa j a aa n a aa
आनी	aa n a ii
आनुभविक	aa n a u bh a w a i k a
आने	aa n a ee
आनेजाने	aa n a ee j a aa n a ee
आनेवालों	aa n a ee w a aa l a o q
आन्तरिक	aa n a t a r a i k a
आन्दोलन	aa n a d a o l a n a
आऩे	aa ee
आप	aa p a
आपका	aa p a k a aa
आपकी	aa p a k a ii
आपके	aa p a k a ee
आपको	aa p a k a o
आपत्तिजनक	aa p a t a t a i j a n a k a
आपदा	aa p a d a aa
आपदाॅए	aa p a d a aa ee
आपने	aa p a n a ee
आपराधिक	aa p a r a aa dh a i k a
आपस	aa p a s a
आपसबका	aa p a s a b a k a aa
आपसी	aa p a s a ii
आपसे	aa p a s a ee
आपा	aa p a aa
आपातकाल	aa p a aa t a k a aa l a
आपूर्ति	aa p a uu r a t a i
आपे	aa p a ee
आफ	aa ph a
आफत	aa ph a t a
आबादी	aa b a aa d a ii
आबू	aa b a uu
आब्सेशन	aa b a s a ee sh a n a
आभा	aa bh a aa
आभास	aa bh a aa s a
आम	aa m a
आमंत्रण	aa m a q t a r a nx a
आमंत्रित	aa m a q t a r a i t a
आमदनी	aa m a d a n a ii
आमनेसामने	aa m a n a ee s a aa m a n a ee
आमादा	aa m a aa d a aa
आमों	aa m a o q
आमोदप्रमोद	aa m a o d a p a r a m a o d a
आय	aa y a
आयझॅक	aa y a jh a k a
आयरलैंड	aa y a r a l a ei q dx a
आया	aa y a aa
आयाम	aa y a aa m a
आयी	aa y a ii
आयु	aa y a u
आयुक्त	aa y a u k a t a
आयुधों	aa y a u dh a o q
आये	aa y a ee
आयें	aa y a ee q
आयेंगे	aa y a ee q g a ee
आयेगा	aa y a ee g a aa
आयेगी	aa y a ee g a ii
आयोग	aa y a o g a
आयोजन	aa y a o j a n a
आयोजित	aa y a o j a i t a
आयोडीन	aa y a o dx a ii n a
आर	aa r a
आरंभ	aa r a q bh a
आरएसएस	aa r a ee s a ee s a
आरक्षण	aa r a k a sx a nx a
आरपार	aa r a p a aa r a
आरपीसिंह	aa r a p a ii s a i q h a
आरम्भ	aa r a m a bh a
आरम्भिक	aa r a m a bh a i k a
आरसी	aa r a s a ii
आरसीए	aa r a s a ii ee
आराधना	aa r a aa dh a n a aa
आराम	aa r a aa m a
आरामदय	aa r a aa m a d a y a
आरामसे	aa r a aa m a s a ee
आरिफ	aa r a i ph a
आरोप	aa r a o p a
आरोपितों	aa r a o p a i t a o q
आरोपी	aa r a o p a ii
आरोपों	aa r a o p a o q
आर्काइटस	aa r a k a aa i tx a s a
आर्किमीदीज़	aa r a k a i m a ii d a ii z a
आर्किेमीदीज़	aa r a k a i ee m a ii d a ii z a
आर्चबिशप	aa r a c a b a i sh a p a
आर्टस	aa r a tx a s a
आर्डर	aa r a dx a r a
आर्थर	aa r a th a r a
आर्थिक	aa r a th a i k a
आर्मी	aa r a m a ii
आर्मेचर	aa r a m a ee c a r a
आर्यन	aa r a y a n a
आर्यभट	aa r a y a bh a tx a
आर्यमान	aa r a y a m a aa n a
आर्यसमाज	aa r a y a s a m a aa j a
आर्यों	aa r a y a o q
आऱएलडी	aa ee l a dx a ii
आऱक्षण	aa k a sx a nx a
आऱिफ	aa i ph a
आल	aa l a
आलम	aa l a m a
आलमारी	aa l a m a aa r a ii
आलम्बन	aa l a m a b a n a
आला	aa l a aa
आलापों	aa l a aa p a o q
आलिंगन	aa l a i q g a n a
आलिव	aa l a i w a
आलू	aa l a uu
आलूकुम्हड़े	aa l a uu k a u m a h a dxq a ee
आले	aa l a ee
आलेख	aa l a ee kh a
आलोक	aa l a o k a
आलोचक	aa l a o c a k a
आलोचकों	aa l a o c a k a o q
आलोचना	aa l a o c a n a aa
आलोचनात्मक	aa l a o c a n a aa t a m a k a
आवडाई	aa w a dx a aa ii
आवरण	aa w a r a nx a
आवश्यक	aa w a sh a y a k a
आवश्यकता	aa w a sh a y a k a t a aa
आवश्यकताऍं	aa w a sh a y a k a t a aa q
आवाज	aa w a aa j a
आवाज़	aa w a aa z a
आवाज़े	aa w a aa z a ee
आवाज़ें	aa w a aa z a ee q
आवाजे	aa w a aa j a ee
आवास	aa w a aa s a
आवासीय	aa w a aa s a ii y a
आविल	aa w a i l a
आविष्कारों	aa w a i sx a k a aa r a o q
आविष्कृत	aa w a i sx a k a rq t a
आवेगों	aa w a ee g a o q
आवेदक	aa w a ee d a k a
आवेदकों	aa w a ee d a k a o q
आवेदन	aa w a ee d a n a
आवेश	aa w a ee sh a
आवेस्तन	aa w a ee s a t a n a
आशंका	aa sh a q k a aa
आशंकाएँ	aa sh a q k a aa ee mq
आशंकाओं	aa sh a q k a aa o q
आशा	aa sh a aa
आशाएं	aa sh a aa ee q
आशावाद	aa sh a aa w a aa d a
आशिक़	aa sh a i kq a
आशिक़ी	aa sh a i kq a ii
आशीर्वाद	aa sh a ii r a w a aa d a
आशीष	aa sh a ii sx a
आश्	aa sh a
आश्चर्य	aa sh a c a r a y a
आश्चर्यचकित	aa sh a c a r a y a c a k a i t a
आश्चर्यजनक	aa sh a c a r a y a j a n a k a
आश्रम	aa sh a r a m a
आश्रय	aa sh a r a y a
आश्रित	aa sh a r a i t a
आश्वस्त	aa sh a w a s a t a
आश्वासन	aa sh a w a aa s a n a
आषाढ़	aa sx a aa dxhq a
आस	aa s a
आसक्ति	aa s a k a t a i
आसन	aa s a n a
आसपास	aa s a p a aa s a
आसफजहाँ	aa s a ph a j a h a aa mq
आसम	aa s a m a
आसमान	aa s a m a aa n a
आसान	aa s a aa n a
आसानी	aa s a aa n a ii
आसिफ़	aa s a i f a
आसिम	aa s a i m a
आसियान	aa s a i y a aa n a
आसुरी	aa s a u r a ii
आस्ट्रिया	aa s a tx a r a i y a aa
आस्ट्रेलिया	aa s a tx a r a ee l a i y a aa
आस्था	aa s a th a aa
आस्वाद	aa s a w a aa d a
आह	aa h a
आहट	aa h a tx a
आहटों	aa h a tx a o q
आहत	aa h a t a
आहार	aa h a aa r a
आहुति	aa h a u t a i
आहृवान	aa h a rq w a aa n a
आह्वान	aa h a w a aa n a
इं	i q
इंकलाब	i q k a l a aa b a
इंकार	i q k a aa r a
इंगलैंड	i q g a l a ei q dx a
इंग्लैंड	i q g a l a ei q dx a
इंग्लैण्ड	i q g a l a ei nx a dx a
इंच	i q c a
इंजन	i q j a n a
इंजीनियर	i q j a ii n a i y a r a
इंजीनियरिंग	i q j a ii n a i y a r a i q g a
इंजीनियर्स	i q j a ii n a i y a r a s a
इंजेक्शन	i q j a ee k a sh a n a
इंटरनेट	i q tx a r a n a ee tx a
इंटरनेशनल	i q tx a r a n a ee sh a n a l a
