<HI> अँग	a mq g a
<HI> अलकेमिस्ट	a l a k a ee m a i s a tx a
<HI> अलक्षित	a l a k a sx a i t a
<HI> अलग	a l a g a
<HI> अलगअलग	a l a g a a l a g a
<HI> अलगाते	a l a g a aa t a ee
<HI> अलगाना	a l a g a aa n a aa
<HI> अलगाव	a l a g a aa w a
<HI> अलगाववादी	a l a g a aa w a w a aa d a ii
<HI> अलगोरिज्म	a l a g a o r a i j a m a
<HI> अलगोरिथम	a l a g a o r a i th a m a
<HI> अलङ्कार	a l a ng a k a aa r a
<HI> अलङ्कारयोजना	a l a ng a k a aa r a y a o j a n a aa
<HI> अलङ्कारों	a l a ng a k a aa r a o q
<HI> अलफतह	a l a ph a t a h a
<HI> अलबत्ता	a l a b a t a t a aa
<HI> अलबम	a l a b a m a
<HI> अलर्ट	a l a r a tx a
<HI> अलविदा	a l a w a i d a aa
<HI> अलसाई	a l a s a aa ii
<HI> अलसुबह	a l a s a u b a h a
<HI> अलां	a l a aa q
<HI> अलाउद्दीन	a l a aa u d a d a ii n a
<HI> अलावा	a l a aa w a aa
<HI> अलिखित	a l a i kh a i t a
<HI> अली	a l a ii
<HI> अलीमर्दान	a l a ii m a r a d a aa n a
<HI> अलीवर्दी	a l a ii w a r a d a ii
<HI> अल्कोहल	a l a k a o h a l a
<HI> अल्ख्वारिज्मी	a l a kh a w a aa r a i j a m a ii
<HI> अल्ट्रासाउण्ड	a l a tx a r a aa s a aa u nx a dx a
<HI> अल्पना	a l a p a n a aa
<HI> अल्पमत	a l a p a m a t a
<HI> अल्पविकसित	a l a p a w a i k a s a i t a
<HI> अल्पसंख्यक	a l a p a s a q kh a y a k a
<HI> अल्फ्रेडो	a l a ph a r a ee dx a o
<HI> अल्बर्ट	a l a b a r a tx a
<HI> अल्ला	a l a l a aa
<HI> अल्लाह	a l a l a aa h a
<HI> अवगत	a w a g a t a
<HI> अवगुंठित	a w a g a u q txh a i t a
<HI> अवज्ञापूर्ण	a w a j a nj a aa p a uu r a nx a
<HI> अवतरित	a w a t a r a i t a
<HI> अवतार	a w a t a aa r a
<HI> अवतारों	a w a t a aa r a o q
<HI> अवधारणा	a w a dh a aa r a nx a aa
<HI> अवधि	a w a dh a i
<HI> अवनति	a w a n a t a i
<HI> अवयय	a w a y a y a
<HI> अवर	a w a r a
<HI> अवरुद्ध	a w a r a u d a dh a
<HI> अवरूद्ध	a w a r a uu d a dh a
<HI> अवरोध	a w a r a o dh a
<HI> अवरोधक	a w a r a o dh a k a
<HI> अवरोह	a w a r a o h a
<HI> अवलोकन	a w a l a o k a n a
<HI> अवशेष	a w a sh a ee sx a
<HI> अवशोषित	a w a sh a o sx a i t a
<HI> अवश्य	a w a sh a y a
<HI> अवश्यम्भावी	a w a sh a y a m a bh a aa w a ii
<HI> अवसर	a w a s a r a
<HI> अवसरों	a w a s a r a o q
<HI> अवस्था	a w a s a th a aa
<HI> अवस्थापूर्ण	a w a s a th a aa p a uu r a nx a
<HI> अवस्थिति	a w a s a th a i t a i
<HI> अवांछित	a w a aa q ch a i t a
<HI> अवाक्	a w a aa k a
<HI> अवामी	a w a aa m a ii
<HI> अवार्ड	a w a aa r a dx a
<HI> अविजित	a w a i j a i t a
<HI> अविद्या	a w a i d a y a aa
<HI> अविनाश	a w a i n a aa sh a
<HI> अविनाशचन्द्र	a w a i n a aa sh a c a n a d a r a
<HI> अविनाशजी	a w a i n a aa sh a j a ii
<HI> अविवाहित	a w a i w a aa h a i t a
<HI> अविवेकपूर्ण	a w a i w a ee k a p a uu r a nx a
<HI> अवैतनिक	a w a ei t a n a i k a
<HI> अवैधानिक	a w a ei dh a aa n a i k a
<HI> अव्यक्त	a w a y a k a t a
<HI> अशांति	a sh a aa q t a i
<HI> अशिक्षितों	a sh a i k a sx a i t a o q
<HI> अशोक	a sh a o k a
<HI> अशोकनाथ	a sh a o k a n a aa th a
<HI> अश्रु	a sh a r a u
<HI> अश्वघोष	a sh a w a gh a o sx a
<HI> अश्वत्थामा	a sh a w a t a th a aa m a aa
<HI> अश्वारोही	a sh a w a aa r a o h a ii
<HI> अश्वेत	a sh a w a ee t a
<HI> असंतुलित	a s a q t a u l a i t a
<HI> असंतुष्ट	a s a q t a u sx a tx a
<HI> असंतोष	a s a q t a o sx a
<HI> असंभव	a s a q bh a w a
<HI> असङ्गता	a s a ng a g a t a aa
<HI> असद	a s a d a
<HI> असन्तोष	a s a n a t a o sx a
<HI> असफल	a s a ph a l a
<HI> असफलताओं	a s a ph a l a t a aa o q
<HI> असबाती	a s a b a aa t a ii
<HI> असम	a s a m a
<HI> असमंजस	a s a m a q j a s a
<HI> असमताओं	a s a m a t a aa o q
<HI> असमर्थ	a s a m a r a th a
<HI> असर	a s a r a
<HI> असरदार	a s a r a d a aa r a
<HI> असरफी	a s a r a ph a ii
<HI> असल	a s a l a
<HI> असलम	a s a l a m a
<HI> असली	a s a l a ii
<HI> असहनीय	a s a h a n a ii y a
<HI> असहमति	a s a h a m a t a i
<HI> असहयोग	a s a h a y a o g a
<HI> असहाय	a s a h a aa y a
<HI> असहिष्णु	a s a h a i sx a nx a u
<HI> असहिष्णुता	a s a h a i sx a nx a u t a aa
<HI> असामाजिक	a s a aa m a aa j a i k a
<HI> असामान्य	a s a aa m a aa n a y a
<HI> असावधानी	a s a aa w a dh a aa n a ii
<HI> असिमोव	a s a i m a o w a
<HI> असीम	a s a ii m a
<HI> असीमित	a s a ii m a i t a
<HI> असुर	a s a u r a
<HI> असुरक्षा	a s a u r a k a sx a aa
<HI> अस्तव्यस्त	a s a t a w a y a s a t a
<HI> अस्तित्व	a s a t a i t a w a
<HI> अस्तु	a s a t a u
<HI> अस्त्र	a s a t a r a
<HI> अस्थायी	a s a th a aa y a ii
<HI> अस्थिरता	a s a th a i r a t a aa
<HI> अस्पताल	a s a p a t a aa l a
<HI> अस्पतालों	a s a p a t a aa l a o q
<HI> अस्पष्ट	a s a p a sx a tx a
<HI> अस्पष्टता	a s a p a sx a tx a t a aa
<HI> अस्मिता	a s a m a i t a aa
<HI> अस्वस्थ	a s a w a s a th a
<HI> अस्वस्थता	a s a w a s a th a t a aa
<HI> अस्वाभाविक	a s a w a aa bh a aa w a i k a
<HI> अस्वीकृत	a s a w a ii k a rq t a
<HI> अस्वीकृति	a s a w a ii k a rq t a i
<HI> अस्सी	a s a s a ii
<HI> अहंकार	a h a q k a aa r a
<HI> अहम	a h a m a
<HI> अहमद	a h a m a d a
<HI> अहमदनगर	a h a m a d a n a g a r a
<HI> अहमियत	a h a m a i y a t a
<HI> अहसास	a h a s a aa s a
<HI> अहा	a h a aa
<HI> अहिंसक	a h a i q s a k a
<HI> अहिंसा	a h a i q s a aa
<HI> अहिल्या	a h a i l a y a aa
<HI> अहीर	a h a ii r a
<HI> आँकड़ा	aa mq k a dxq a aa
<HI> आँख	aa mq kh a
<HI> आँखे	aa mq kh a ee
<HI> आँखें	aa mq kh a ee q
<HI> आँखों	aa mq kh a o q
<HI> आँगन	aa mq g a n a
<HI> आँचल	aa mq c a l a
<HI> आँडाल	aa mq dx a aa l a
<HI> आँधी	aa mq dh a ii
<HI> आँवला	aa mq w a l a aa
<HI> आँवलों	aa mq w a l a o q
<HI> आँसू	aa mq s a uu
<HI> आंकड़ा	aa q k a dxq a aa
<HI> आंकड़े	aa q k a dxq a ee
<HI> आंकड़ों	aa q k a dxq a o q
<HI> आंकी	aa q k a ii
<HI> आंख	aa q kh a
<HI> आंखे	aa q kh a ee
<HI> आंखें	aa q kh a ee q
<HI> आंखों	aa q kh a o q
<HI> आंटी	aa q tx a ii
<HI> आंतरिक	aa q t a r a i k a
<HI> आंतो	aa q t a o
<HI> आंतों	aa q t a o q
<HI> आंदोलन	aa q d a o l a n a
<HI> आंदोलित	aa q d a o l a i t a
<HI> आंधी	aa q dh a ii
<HI> आंबेडकर	aa q b a ee dx a k a r a
<HI> आंशिक	aa q sh a i k a
<HI> आंसू	aa q s a uu
<HI> आइंस्टीन	aa i q s a tx a ii n a
<HI> आइए	aa i ee
<HI> आइन्स्टाइन	aa i n a s a tx a aa i n a
<HI> आइये	aa i y a ee
<HI> आइशा	aa i sh a aa
<HI> आइसक्रीम	aa i s a k a r a ii m a
<HI> आई	aa ii
<HI> आईं	aa ii q
<HI> आईआईएम	aa ii aa ii ee m a
<HI> आईआईएसईआर	aa ii aa ii ee s a ii aa r a
<HI> आईआईटी	aa ii aa ii tx a ii
<HI> आईएनएस	aa ii ee n a ee s a
<HI> आईएऩएस	aa ii ee ee s a
<HI> आईपीआऱ	aa ii p a ii aa
<HI> आईपीटीवी	aa ii p a ii tx a ii w a ii
<HI> आउट	aa u tx a
<HI> आउटफील्ड	aa u tx a ph a ii l a dx a
<HI> आउटफ्लो	aa u tx a ph a l a o
<HI> आउटसोर्स	aa u tx a s a o r a s a
<HI> आए	aa ee
<HI> आएँ	aa ee mq
<HI> आएँगे	aa ee mq g a ee
<HI> आएं	aa ee q
<HI> आएंगे	aa ee q g a ee
<HI> आएगा	aa ee g a aa
<HI> आएगी	aa ee g a ii
<HI> आओ	aa o
<HI> आक	aa k a
<HI> आकर	aa k a r a
<HI> आकरे	aa k a r a ee
<HI> आकर्षक	aa k a r a sx a k a
<HI> आकर्षण	aa k a r a sx a nx a
<HI> आकर्षित	aa k a r a sx a i t a
<HI> आकलन	aa k a l a n a
<HI> आकस्मिक	aa k a s a m a i k a
<HI> आकांक्षा	aa k a aa q k a sx a aa
<HI> आकार	aa k a aa r a
<HI> आकाश	aa k a aa sh a
<HI> आकृति	aa k a rq t a i
<HI> आकृतियां	aa k a rq t a i y a aa q
<HI> आक्रमण	aa k a r a m a nx a
<HI> आक्रामक	aa k a r a aa m a k a
<HI> आक्रोश	aa k a r a o sh a
<HI> आखरी	aa kh a r a ii
<HI> आख़िर	aa khq a i r a
<HI> आख़िरकार	aa khq a i r a k a aa r a
<HI> आख़िरी	aa khq a i r a ii
<HI> आखिर	aa kh a i r a
<HI> आखिरकार	aa kh a i r a k a aa r a
<HI> आखिरी	aa kh a i r a ii
<HI> आखिऱी	aa kh a i ii
<HI> आखें	aa kh a ee q
<HI> आख्यातत्त्व	aa kh a y a aa t a t a t a w a
<HI> आग	aa g a
<HI> आगन्तुक	aa g a n a t a u k a
<HI> आगम	aa g a m a
<HI> आगमन	aa g a m a n a
<HI> आगरकर	aa g a r a k a r a
<HI> आगरा	aa g a r a aa
<HI> आग़ा	aa gq a aa
<HI> आगे	aa g a ee
<HI> आगेआगे	aa g a ee aa g a ee
<HI> आगौनी	aa g a ou n a ii
<HI> आग्रह	aa g a r a h a
<HI> आग्रही	aa g a r a h a ii
<HI> आघात	aa gh a aa t a
<HI> आचरण	aa c a r a nx a
<HI> आचार	aa c a aa r a
<HI> आचार्य	aa c a aa r a y a
<HI> आचार्य्य	aa c a aa r a y a y a
<HI> आज	aa j a
<HI> आजकल	aa j a k a l a
<HI> आजमगढ़	aa j a m a g a dxhq a
<HI> आज़ादियों	aa z a aa d a i y a o q
<HI> आज़ादी	aa z a aa d a ii
<HI> आज़िया	aa z a i y a aa
<HI> आजाद	aa j a aa d a
<HI> आजादी	aa j a aa d a ii
<HI> आजीवन	aa j a ii w a n a
<HI> आज्ञा	aa j a nj a aa
<HI> आटा	aa tx a aa
<HI> आटो	aa tx a o
<HI> आट्टले	aa tx a tx a l a ee
<HI> आठ	aa txh a
<HI> आठआठ	aa txh a aa txh a
<HI> आठदस	aa txh a d a s a
<HI> आठवां	aa txh a w a aa q
<HI> आठवीं	aa txh a w a ii q
<HI> आठवें	aa txh a w a ee q
<HI> आडंबरों	aa dx a q b a r a o q
<HI> आडवाणी	aa dx a w a aa nx a ii
<HI> आड़े	aa dxq a ee
<HI> आडीटोरियम	aa dx a ii tx a o r a i y a m a
<HI> आतंक	aa t a q k a
<HI> आतंकवाद	aa t a q k a w a aa d a
<HI> आतंकवादियोँ	aa t a q k a w a aa d a i y a o mq
<HI> आतंकवादियों	aa t a q k a w a aa d a i y a o q
<HI> आतंकवादी	aa t a q k a w a aa d a ii
<HI> आतंकित	aa t a q k a i t a
<HI> आतंकी	aa t a q k a ii
<HI> आता	aa t a aa
<HI> आताजाता	aa t a aa j a aa t a aa
<HI> आती	aa t a ii
<HI> आतीं	aa t a ii q
<HI> आतुरताभरे	aa t a u r a t a aa bh a r a ee
<HI> आते	aa t a ee
<HI> आतेआते	aa t a ee aa t a ee
<HI> आत्म	aa t a m a
<HI> आत्मकथा	aa t a m a k a th a aa
<HI> आत्मघाती	aa t a m a gh a aa t a ii
<HI> आत्मज्ञान	aa t a m a j a nj a aa n a
<HI> आत्मनिर्भर	aa t a m a n a i r a bh a r a
<HI> आत्मलीन	aa t a m a l a ii n a
<HI> आत्मविश्वास	aa t a m a w a i sh a w a aa s a
<HI> आत्मसजग	aa t a m a s a j a g a
<HI> आत्मसम्मान	aa t a m a s a m a m a aa n a
<HI> आत्महत्या	aa t a m a h a t a y a aa
<HI> आत्मा	aa t a m a aa
<HI> आत्माओं	aa t a m a aa o q
<HI> आत्मानुशासन	aa t a m a aa n a u sh a aa s a n a
<HI> आत्मालाप	aa t a m a aa l a aa p a
<HI> आत्मीय	aa t a m a ii y a
<HI> आत्मीयता	aa t a m a ii y a t a aa
<HI> आदत	aa d a t a
<HI> आदतन	aa d a t a n a
<HI> आदमियों	aa d a m a i y a o q
<HI> आदमी	aa d a m a ii
<HI> आदर	aa d a r a
<HI> आदरसत्कार	aa d a r a s a t a k a aa r a
<HI> आदर्श	aa d a r a sh a
<HI> आदर्शों	aa d a r a sh a o q
<HI> आदाब	aa d a aa b a
<HI> आदि	aa d a i
<HI> आदिग्रन्थ	aa d a i g a r a n a th a
<HI> आदित्य	aa d a i t a y a
<HI> आदिम	aa d a i m a
<HI> आदिवासियों	aa d a i w a aa s a i y a o q
<HI> आदिहोता	aa d a i h a o t a aa
<HI> आदी	aa d a ii
<HI> आदीजैसे	aa d a ii j a ei s a ee
<HI> आदेश	aa d a ee sh a
<HI> आदेशानुसार	aa d a ee sh a aa n a u s a aa r a
<HI> आद्यतन	aa d a y a t a n a
<HI> आद्याशकित	aa d a y a aa sh a k a i t a
<HI> आद्योपान्त	aa d a y a o p a aa n a t a
<HI> आधा	aa dh a aa
<HI> आधार	aa dh a aa r a
<HI> आधारभूत	aa dh a aa r a bh a uu t a
<HI> आधारित	aa dh a aa r a i t a
<HI> आधिकारिक	aa dh a i k a aa r a i k a
<HI> आधिपत्य	aa dh a i p a t a y a
<HI> आधी	aa dh a ii
<HI> आधीरात	aa dh a ii r a aa t a
<HI> आधुनिक	aa dh a u n a i k a
<HI> आधुनिकता	aa dh a u n a i k a t a aa
<HI> आधुनिकतावाद	aa dh a u n a i k a t a aa w a aa d a
<HI> आधुनिकि	aa dh a u n a i k a i
<HI> आधुनिकीकरण	aa dh a u n a i k a ii k a r a nx a
<HI> आधे	aa dh a ee
<HI> आध्यात्मिक	aa dh a y a aa t a m a i k a
<HI> आध्यात्मिकता	aa dh a y a aa t a m a i k a t a aa
<HI> आन	aa n a
<HI> आनंद	aa n a q d a
<HI> आनंदित	aa n a q d a i t a
<HI> आनंदी	aa n a q d a ii
<HI> आनंदीलाल	aa n a q d a ii l a aa l a
<HI> आनन्द	aa n a n a d a
<HI> आनन्दलोक	aa n a n a d a l a o k a
<HI> आना	aa n a aa
<HI> आनाजाना	aa n a aa j a aa n a aa
<HI> आनी	aa n a ii
<HI> आनुभविक	aa n a u bh a w a i k a
<HI> आने	aa n a ee
<HI> आनेजाने	aa n a ee j a aa n a ee
<HI> आनेवालों	aa n a ee w a aa l a o q
<HI> आन्तरिक	aa n a t a r a i k a
<HI> आन्दोलन	aa n a d a o l a n a
<HI> आऩे	aa ee
<HI> आप	aa p a
<HI> आपका	aa p a k a aa
<HI> आपकी	aa p a k a ii
<HI> आपके	aa p a k a ee
<HI> आपको	aa p a k a o
<HI> आपत्तिजनक	aa p a t a t a i j a n a k a
<HI> आपदा	aa p a d a aa
<HI> आपदाॅए	aa p a d a aa ee
<HI> आपने	aa p a n a ee
<HI> आपराधिक	aa p a r a aa dh a i k a
<HI> आपस	aa p a s a
<HI> आपसबका	aa p a s a b a k a aa
<HI> आपसी	aa p a s a ii
<HI> आपसे	aa p a s a ee
<HI> आपा	aa p a aa
<HI> आपातकाल	aa p a aa t a k a aa l a
<HI> आपूर्ति	aa p a uu r a t a i
<HI> आपे	aa p a ee
<HI> आफ	aa ph a
<HI> आफत	aa ph a t a
<HI> आबादी	aa b a aa d a ii
<HI> आबू	aa b a uu
<HI> आब्सेशन	aa b a s a ee sh a n a
<HI> आभा	aa bh a aa
<HI> आभास	aa bh a aa s a
<HI> आम	aa m a
<HI> आमंत्रण	aa m a q t a r a nx a
<HI> आमंत्रित	aa m a q t a r a i t a
<HI> आमदनी	aa m a d a n a ii
<HI> आमनेसामने	aa m a n a ee s a aa m a n a ee
<HI> आमादा	aa m a aa d a aa
<HI> आमों	aa m a o q
<HI> आमोदप्रमोद	aa m a o d a p a r a m a o d a
<HI> आय	aa y a
<HI> आयझॅक	aa y a jh a k a
<HI> आयरलैंड	aa y a r a l a ei q dx a
<HI> आया	aa y a aa
<HI> आयाम	aa y a aa m a
<HI> आयी	aa y a ii
<HI> आयु	aa y a u
<HI> आयुक्त	aa y a u k a t a
<HI> आयुधों	aa y a u dh a o q
<HI> आये	aa y a ee
<HI> आयें	aa y a ee q
<HI> आयेंगे	aa y a ee q g a ee
<HI> आयेगा	aa y a ee g a aa
